the_geom,Library,Street Address,Zip Code,Phone #,Shelby County Zip Codes,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.95277208199995 35.08684412200006),Cherokee Library,3300 Sharpe Avenue,38111,901-415-2762,10,5,5
POINT (-90.05508451699994 35.11898335600007),Gaston Park Library,1040 S 3rd Street,38106,901-415-2769,6,14,6
POINT (-90.01747701499994 35.165437373000046),North Library,1192 Vollintine Avenue,38107,901-415-2775,7,7,7
POINT (-90.05445282399995 35.14485114800006),Cossitt Downtown Library (temporarily closed),33 S Front Street,38103,901-415-2766,3,8,6
POINT (-89.78098441099996 35.14244362600006),Cordova Library,8457 Trinity Road,38018,901-415-2764,1,3,2
POINT (-89.97524480699997 35.17784262000005),Hollywood Library,1530 N Hollywood Street,38108,901-415-2772,8,7,7
POINT (-89.90833503099995 35.06242548500006),Parkway Village Library,4655 Knight Arnold Road,38118,901-415-2776,17,11,5
POINT (-90.06244168299996 35.04836592200009), Levi Library,3676 S 3rd Street,38109,901-415-2773,9,13,6
POINT (-89.89235853999996 35.11125034300005),Poplar-White Station Library,5094 Poplar Avenue,38117,901-415-2777,16,4,4
POINT (-89.93540074999999 35.156082791000074),Randolph Library,3752 Given Avenue,38122,901-415-2779,20,6,4
POINT (-89.92120437999993 35.21238844100003),Raleigh Library,3157 Powers Road,38128,901-415-2778,24,2,1
POINT (-90.05599104099996 35.09494205600005),South Library,1929 S 3rd Street,38109,901-415-2780,9,14,6
POINT (-90.00171102899998 35.22695249300007),Frayser Library,3712 Argonne Street,38127,901-415-2768,23,1,7
POINT (-89.96047723399991 35.13238670700008),Benjamin L. Hooks Central Library,3030 Poplar Avenue,38111,901-415-2700,10,9,4
POINT (-90.04427420099994 35.13467860500006),Cornelia Crenshaw Memorial Library,531 Vance Avenue,38126,901-415-2765,22,8,6
POINT (-90.00748641499995 35.03612700000011),Whitehaven Library,4120 Millbranch Road,38116,901-415-2781,15,12,6
